code,name,element_type,category,difficulty,base_points,duration_seconds,skip_unlock_rule,proof_required,validation_mode,can_be_fake,can_appear_in_reserve,player_display_text,ui_tag_1,ui_tag_2,success_button_label,failure_button_label,is_active
faire_changer_quelquun_de_place,Faire changer quelqu’un de place,mission,positioning,2,3,420,one_half,False,auto,True,True,Faire changer quelqu’un de place,placement,mouvement,Réussi,Raté,True
faire_lever_quelquun,Faire lever quelqu’un,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire lever quelqu’un,placement,mouvement,Réussi,Raté,True
faire_danser_quelquun,Faire danser quelqu’un,mission,social,2,3,420,one_half,False,auto,True,True,Faire danser quelqu’un,social,visible,Réussi,Raté,True
faire_mettre_un_masque,Faire mettre un masque,mission,social,1,1,300,one_third,False,auto,True,True,Faire mettre un masque,social,visible,Réussi,Raté,True
faire_enlever_un_masque,Faire enlever un masque,mission,social,2,3,420,one_half,False,auto,True,True,Faire enlever un masque,social,visible,Réussi,Raté,True
faire_tenir_un_verre_10_secondes,Faire tenir un verre 10 secondes,mission,social,1,1,300,one_third,False,auto,True,True,Faire tenir un verre 10 secondes,social,visible,Réussi,Raté,True
faire_changer_quelquun_de_groupe,Faire changer quelqu’un de groupe,mission,positioning,2,3,420,one_half,False,auto,True,True,Faire changer quelqu’un de groupe,placement,mouvement,Réussi,Raté,True
faire_sortir_puis_revenir_quelquun,Faire sortir puis revenir quelqu’un,mission,positioning,2,3,420,one_half,False,auto,True,True,Faire sortir puis revenir quelqu’un,placement,mouvement,Réussi,Raté,True
faire_applaudir_quelquun,Faire applaudir quelqu’un,mission,social,1,1,300,one_third,False,auto,True,True,Faire applaudir quelqu’un,social,visible,Réussi,Raté,True
se_faire_contredire,Se faire contredire,mission,manipulation,2,3,420,one_half,False,auto,True,True,Se faire contredire,influence,contrôle,Réussi,Raté,True
se_faire_corriger,Se faire corriger,mission,manipulation,1,1,300,one_third,False,auto,True,True,Se faire corriger,influence,contrôle,Réussi,Raté,True
faire_rire_quelquun,Faire rire quelqu’un,mission,social,2,3,420,one_half,False,auto,True,True,Faire rire quelqu’un,social,visible,Réussi,Raté,True
se_faire_demander_pourquoi,Se faire demander pourquoi,mission,conversation,1,1,300,one_third,False,auto,True,True,Se faire demander pourquoi,parole,direct,Réussi,Raté,True
faire_se_retourner_quelquun,Faire se retourner quelqu’un,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire se retourner quelqu’un,placement,mouvement,Réussi,Raté,True
faire_se_rapprocher_quelquun_pour_entendre,Faire se rapprocher quelqu’un pour entendre,mission,positioning,1,1,300,one_third,False,auto,True,True,Faire se rapprocher quelqu’un pour entendre,placement,mouvement,Réussi,Raté,True
se_faire_demander_de_repeter,Se faire demander de répéter,mission,conversation,1,1,300,one_third,False,auto,True,True,Se faire demander de répéter,parole,direct,Réussi,Raté,True
rejoindre_un_groupe_1_minute,Rejoindre un groupe 1 minute,mission,natural,1,1,300,one_third,False,auto,True,True,Rejoindre un groupe 1 minute,naturel,fluide,Réussi,Raté,True
faire_entrer_une_troisieme_personne,Faire entrer une troisième personne,mission,triangular,2,3,420,one_half,False,auto,True,True,Faire entrer une troisième personne,triangulaire,groupe,Réussi,Raté,True
faire_parler_deux_personnes_ensemble,Faire parler deux personnes ensemble,mission,triangular,2,3,420,one_half,False,auto,True,True,Faire parler deux personnes ensemble,triangulaire,groupe,Réussi,Raté,True
faire_complimenter_ta_tenue,Faire complimenter ta tenue,mission,conversation,2,3,420,one_half,False,auto,True,True,Faire complimenter ta tenue,parole,direct,Réussi,Raté,True
faire_proposer_une_photo_de_groupe,Faire proposer une photo de groupe,mission,social,2,3,420,one_half,False,auto,True,True,Faire proposer une photo de groupe,social,visible,Réussi,Raté,True
faire_suggerer_de_danser,Faire suggérer de danser,mission,social,2,3,420,one_half,False,auto,True,True,Faire suggérer de danser,social,visible,Réussi,Raté,True
faire_repeter_une_phrase_sans_dire_repete,Faire répéter une phrase sans dire répète,mission,manipulation,3,5,600,one_half,False,auto,True,True,Faire répéter une phrase sans dire répète,influence,contrôle,Réussi,Raté,True
faire_quitter_un_groupe_a_quelquun,Faire quitter un groupe à quelqu’un,mission,positioning,2,3,420,one_half,False,auto,True,True,Faire quitter un groupe à quelqu’un,placement,mouvement,Réussi,Raté,True
amener_deux_personnes_a_se_contredire,Amener deux personnes à se contredire,mission,triangular,3,5,600,one_half,False,auto,True,True,Amener deux personnes à se contredire,triangulaire,groupe,Réussi,Raté,True
faire_trinquer_deux_personnes,Faire trinquer deux personnes,mission,social,1,1,300,one_third,False,auto,True,True,Faire trinquer deux personnes,social,visible,Réussi,Raté,True
faire_regarder_la_meme_personne_a_un_groupe,Faire regarder la même personne à un groupe,mission,social,2,3,420,one_half,False,auto,True,True,Faire regarder la même personne à un groupe,social,visible,Réussi,Raté,True
declencher_un_mini_applaudissement,Déclencher un mini applaudissement,mission,social,2,3,420,one_half,False,auto,True,True,Déclencher un mini applaudissement,social,visible,Réussi,Raté,True
faire_prendre_quelquun_en_photo_sans_demande_initiale,Faire prendre quelqu’un en photo sans demande initiale,mission,social,2,3,420,one_half,False,auto,True,True,Faire prendre quelqu’un en photo sans demande initiale,social,visible,Réussi,Raté,True
